Author_id,Name
A0001,Mark P. O. Morford
A0002,Robert J. Lenardon
A0003,Richard Bruce Wright
A0004,Carlo D'Este
A0005,Gina Kolata
A0006,Elizabeth Wayland Barber
A0007,E. J. W. Barber
A0008,Amy Tan
A0009,Robert Cowley
A0010,Scott Turow
A0011,Stacy Keach
A0012,David Cordingly
A0013,Ann Beattie
A0014,David Adams Richards
A0015,Kensington
A0016,Sheila Heti
A0017,J. R. Kaiser
A0018,Jack Canfield
A0019,Mark Victor Hansen
A0020,Jennifer Read Haw
A0021,Loren D. Estleman
A0022,John Kenneth
A0023,Robert Hendrickson
A0024,Julia Oliver
A0025,John Grisham
A0026,Toni Morrison
A0027,The Onion
A0028,Scott Dikkers
A0029,Mike Loew
A0030,Celia Brooks Brown
A0031,Jane Noraika
A0032,Philip Webb
A0033,J. R. Parrish
A0034,Mary-kate
A0035,Amp
A0036,Ashley Olsen
A0037,Robynn Clairday
A0038,Kathleen Duey
A0039,Karen A. Bale
A0040,Bill Dodge
A0041,Rich Shapero
A0042,Michael Crichton
A0043,C.s. Lewis
A0044,Arthur Phillips
A0045,Stephen Jaramillo
A0046,Mordecai Richler
A0047,Michael Panofsky
A0048,Anette Grube
A0049,Eleanor Cooney
A0050,Daniel Altieri
A0051,Charlotte Link
A0052,Richard North Patterson
A0053,Kristian Lutze
A0054,Mark Salzman
A0055,Harper Lee
A0056,Laura Hillenbrand
A0057,Barbara Kingsolver
A0058,Jo Dereske
A0059,Jane Austen
A0060,Dolores Krieger
A0061,Anne Rivers Siddons
A0062,Dean Koontz
A0063,Mary Higgins Clark
A0064,Patricia Cornwell
A0065,J.d. Robb
A0066,Maeve Binchy
A0067,Laura J. Mixon
A0068,Tim Lahaye
A0069,Jerry B. Jenkins
A0070,Bernie S. Siegel M.d.
A0071,Robert Penn Warren
A0072,Hans Johannes Hoefer
A0073,Mark Helprin
A0074,O. Carl Simonton M.d.
A0075,James Creighton Ph.d.
A0076,Stepha
A0077,Chuck Hill
A0078,David Iglehart
A0079,Larry Mcmurtry
A0080,Suzanne Fisher Staples
A0081,Michel Tournier
A0082,Carl Sagan
A0083,Aleksandr Zinoviev
A0084,Anne Tyler
A0085,Joseph Conrad
A0086,Deepak Chopra
A0087,Martin Greenberg
A0088,Thomas Hardy
A0089,Charles Noland
A0090,Sherri Baker
A0091,Valerie Frankel
A0092,Benjamin Hoff
A0093,Niccolo Machiavelli
A0094,H. Jackson Brown Jr.
A0095,Robert A. Heinlein
A0096,Philip Pullman
A0097,Unknown Author
A0098,Michael Ondaatje
A0099,Sandra Levy Ceren
A0100,P. J. O'Rourke
A0101,Mike Gayle
A0102,Stel Pavlou
A0103,Sarah Payne Stuart
A0104,Dan Quayle
A0105,Donald F. Kettl
A0106,Donald Kettl
A0107,David Frum
A0108,Louis L'Amour
A0109,J.d. Salinger
A0110,John Berendt
A0111,Jennifer Crusie
A0112,Jane Heller
A0113,Michael Rips
A0114,Simon Mawer
A0115,William Abrahams
A0116,Robert T. Kiyosaki
A0117,Sharon L. Lechter
A0118,Ken Follett
A0119,John F. Love
A0120,Robert G. Allen
A0121,Louis De Bernieres
A0122,Pam Proctor
A0123,Allen M. Schoen
A0124,Mitch Albom
A0125,Michael Jan Friedman
A0126,Ronald D. Moore
A0127,Glendon Swarthout
A0128,Neal Barrett Jr.
A0129,J. Michael Straczynski
A0130,David Morrell
A0131,Sandra Brown
A0132,James Patterson
A0133,Peter De Jonge
A0134,Stuart Woods
A0135,Iris Johansen
A0136,Dan Brown
A0137,Joe Hutsko
A0138,Anita Shreve
A0139,Ann Rule
A0140,Lewis Grizzard
A0141,Paul Theroux
A0142,Charles Hickey
A0143,Todd Lighty
A0144,John O'Brien
A0145,Stephen King
A0146,Ben Mezrich
A0147,Bill Hand
A0148,Tom Clancy
A0149,Dana Reeve
A0150,Roy
A0151,Barbara Metzger
A0152,Gabriel Garcia Marquez
