Author_id,Isbn
A0001,0195153445
A0002,0195153445
A0001,0195153448
A0002,0195153448
A0003,0002005018
A0004,0060973129
A0005,0374157065
A0006,0393045218
A0007,0393045218
A0008,0399135782
A0009,0425176428
A0010,0671870432
A0011,0671870432
A0012,0679425608
A0013,074322678X
A0014,0771074670
A0015,080652121X
A0016,0887841740
A0017,1552041778
A0018,1558746218
A0019,1558746218
A0020,1558746218
A0021,1567407781
A0022,1567407781
A0023,1575663937
A0024,1881320189
A0025,0440234743
A0026,0452264464
A0027,0609804618
A0028,0609804618
A0029,0609804618
A0030,1841721522
A0031,1841721522
A0032,1841721522
A0033,1879384493
A0034,0061076031
A0035,0061076031
A0036,0061076031
A0037,0439095026
A0038,0689821166
A0039,0689821166
A0040,0689821166
A0041,0971880107
A0042,0345402871
A0042,0345417623
A0043,0684823802
A0044,0375759778
A0045,0425163091
A0046,3404921038
A0047,3404921038
A0048,3404921038
A0049,3442353866
A0050,3442353866
A0051,3442410665
A0052,3442446937
A0053,3442446937
A0054,0375406328
A0055,0446310786
A0056,0449005615
A0057,0060168013
A0058,038078243X
A0059,055321215X
A0060,067176537X
A0061,0061099686
A0062,0553582909
A0063,0671888587
A0062,0553582747
A0064,0425182908
A0065,042518630X
A0066,0440223571
A0067,0812523873
A0068,0842342702
A0069,0842342702
A0025,0440225701
A0070,0060914068
A0071,0156047624
A0072,0245542957
A0073,0380715899
A0074,0553280333
A0075,0553280333
A0076,0553280333
A0077,0961769947
A0078,0964778319
A0079,0671623249
A0080,0679810307
A0080,0679865691
A0081,2070423204
A0082,0345260317
A0083,0394743741
A0084,042511774X
A0008,0804106304
A0085,1853262404
A0086,0312970242
A0087,0312970242
A0088,1853260053
A0089,1414035004
A0090,1414035004
A0091,0060938412
A0092,0140067477
A0056,0345465083
A0093,0451625889
A0094,1558531025
A0095,0441783589
A0096,0394895894
A0097,1569871213
A0098,0375410538
A0099,0966986105
A0100,087113375X
A0101,0340767936
A0102,0743403843
A0103,0060930365
A0104,0060177586
A0105,0071416331
A0106,0071416331
A0107,0375509038
A0108,0553062042
A0109,0316769487
A0110,0679429220
A0063,0671867156
A0111,0312252617
A0112,0312261594
A0113,0316748641
A0114,0316973742
A0115,0385235941
A0116,0446677450
A0117,0446677450
A0118,0451166892
A0119,0553347594
A0120,0671621009
A0121,067976397X
A0122,0684822733
A0123,0684822733
A0124,0786868716
A0125,0671864769
A0126,0671864769
A0127,0671521519
A0128,0440222303
A0129,0440222303
A0130,0312953453
A0131,0446608653
A0132,0446612545
A0133,0446612545
A0131,0446612618
A0134,0451208080
A0135,0553584383
A0136,0671027360
A0137,0812575954
A0138,0316735736
A0139,0743439740
A0140,0345372700
A0141,0380619458
A0140,0446325805
A0142,0451406923
A0143,0451406923
A0144,0451406923
A0145,0671042858
A0146,0743249992
A0147,0840734530
A0148,0425184226
A0149,0375500766
A0150,9724119378
A0151,0451205197
A0152,0060929790
A0153,0060976845
A0154,0061099325
A0063,0671004573
A0155,0446601640
A0156,0330484516
A0157,038572179X
A0158,0393020371
A0159,1900850303
A0160,1903019699
A0161,0345425294
A0162,0451410319
A0163,0553583468
A0164,0380778556
A0165,0451525221
A0166,0451525221
A0167,0002740230
A0168,0385336772
A0169,0440949424
A0170,0505524996
A0171,0140252800
A0172,0451452755
A0173,0812575482
A0155,044651747X
A0174,0060801263
A0175,0061030147
