Author_id,Name,Fname,Lname
A0001,Mark P. O. Morford,,
A0002,Robert J. Lenardon,,
A0003,Richard Bruce Wright,Richard,Wright
A0004,Carlo D'Este,Carlo,D'Este
A0005,Gina Kolata,Gina,Kolata
A0006,Elizabeth Wayland Barber,Elizabeth,Barber
A0007,E. J. W. Barber,,
A0008,Amy Tan,Amy,Tan
A0009,Robert Cowley,Robert,Cowley
A0010,Scott Turow,Scott,Turow
A0011,Stacy Keach,Stacy,Keach
A0012,David Cordingly,David,Cordingly
A0013,Ann Beattie,Ann,Beattie
A0014,David Adams Richards,David,Richards
A0015,Kensington,Kensington,
A0016,Sheila Heti,Sheila,Heti
A0017,J. R. Kaiser,,
A0018,Jack Canfield,Jack,Canfield
A0019,Mark Victor Hansen,Mark,Hansen
A0020,Jennifer Read Haw,Jennifer,Haw
A0021,Loren D. Estleman,,
A0022,John Kenneth,John,Kenneth
A0023,Robert Hendrickson,Robert,Hendrickson
A0024,Julia Oliver,Julia,Oliver
A0025,John Grisham,John,Grisham
A0026,Toni Morrison,Toni,Morrison
A0027,The Onion,The,Onion
A0028,Scott Dikkers,Scott,Dikkers
A0029,Mike Loew,Mike,Loew
A0030,Celia Brooks Brown,Celia,Brown
A0031,Jane Noraika,Jane,Noraika
A0032,Philip Webb,Philip,Webb
A0033,J. R. Parrish,,
A0034,Mary-kate,Mary-kate,
A0035,Amp,Amp,
A0036,Ashley Olsen,Ashley,Olsen
A0037,Robynn Clairday,Robynn,Clairday
A0038,Kathleen Duey,Kathleen,Duey
A0039,Karen A. Bale,,
A0040,Bill Dodge,Bill,Dodge
A0041,Rich Shapero,Rich,Shapero
A0042,Michael Crichton,Michael,Crichton
A0043,C.s. Lewis,,
A0044,Arthur Phillips,Arthur,Phillips
A0045,Stephen Jaramillo,Stephen,Jaramillo
A0046,Mordecai Richler,Mordecai,Richler
A0047,Michael Panofsky,Michael,Panofsky
A0048,Anette Grube,Anette,Grube
A0049,Eleanor Cooney,Eleanor,Cooney
A0050,Daniel Altieri,Daniel,Altieri
A0051,Charlotte Link,Charlotte,Link
A0052,Richard North Patterson,Richard,Patterson
A0053,Kristian Lutze,Kristian,Lutze
A0054,Mark Salzman,Mark,Salzman
A0055,Harper Lee,Harper,Lee
A0056,Laura Hillenbrand,Laura,Hillenbrand
A0057,Barbara Kingsolver,Barbara,Kingsolver
A0058,Jo Dereske,Jo,Dereske
A0059,Jane Austen,Jane,Austen
A0060,Dolores Krieger,Dolores,Krieger
A0061,Anne Rivers Siddons,Anne,Siddons
A0062,Dean Koontz,Dean,Koontz
A0063,Mary Higgins Clark,Mary,Clark
A0064,Patricia Cornwell,Patricia,Cornwell
A0065,J.d. Robb,,
A0066,Maeve Binchy,Maeve,Binchy
A0067,Laura J. Mixon,,
A0068,Tim Lahaye,Tim,Lahaye
A0069,Jerry B. Jenkins,,
A0070,Bernie S. Siegel M.d.,,
A0071,Robert Penn Warren,Robert,Warren
A0072,Hans Johannes Hoefer,Hans,Hoefer
A0073,Mark Helprin,Mark,Helprin
A0074,O. Carl Simonton M.d.,,
A0075,James Creighton Ph.d.,,
A0076,Stepha,Stepha,
A0077,Chuck Hill,Chuck,Hill
A0078,David Iglehart,David,Iglehart
A0079,Larry Mcmurtry,Larry,Mcmurtry
A0080,Suzanne Fisher Staples,Suzanne,Staples
A0081,Michel Tournier,Michel,Tournier
A0082,Carl Sagan,Carl,Sagan
A0083,Aleksandr Zinoviev,Aleksandr,Zinoviev
A0084,Anne Tyler,Anne,Tyler
A0085,Joseph Conrad,Joseph,Conrad
A0086,Deepak Chopra,Deepak,Chopra
A0087,Martin Greenberg,Martin,Greenberg
A0088,Thomas Hardy,Thomas,Hardy
A0089,Charles Noland,Charles,Noland
A0090,Sherri Baker,Sherri,Baker
A0091,Valerie Frankel,Valerie,Frankel
A0092,Benjamin Hoff,Benjamin,Hoff
